route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
R,L1S2-R-1095-S38_033600_R..S59X001,L1S2,Bay Ridge-95 St,1,
R,L1S2-R-1095-S38_034200_R..S71R,L1S2,Bay Ridge-95 St,1,R..S71R
R,L1S2-R-1095-S38_034450_R..N93R,L1S2,Forest Hills-71 Av,0,R..N93R
R,L1S2-R-1095-S38_034500_R..S36R,L1S2,Bay Ridge-95 St,1,R..S36R
R,L1S2-R-1095-S38_035100_R..S71R,L1S2,Bay Ridge-95 St,1,R..S71R
R,L1S2-R-1095-S38_035500_R..S27R,L1S2,Bay Ridge-95 St,1,R..S27R
R,L1S2-R-1095-S38_035600_R..N93R,L1S2,Forest Hills-71 Av,0,R..N93R
R,L1S2-R-1095-S38_035600_R..S59X001,L1S2,Bay Ridge-95 St,1,
R,L1S2-R-1095-S38_036550_R..N93R,L1S2,Forest Hills-71 Av,0,R..N93R
R,L1S2-R-1095-S38_037550_R..N93R,L1S2,Forest Hills-71 Av,0,R..N93R
R,L1S2-R-1095-S38_038500_R..N93R,L1S2,Forest Hills-71 Av,0,R..N93R
R,L1S2-R-1095-S38_039500_R..N93R,L1S2,Forest Hills-71 Av,0,R..N93R
R,L1S2-R-1095-S38_040400_R..N93R,L1S2,Forest Hills-71 Av,0,R..N93R
R,L1S2-R-1095-S38_041200_R..N93R,L1S2,Forest Hills-71 Av,0,R..N93R
R,L1S2-R-1095-S38_041850_R..N76R,L1S2,96 St,0,R..N76R
R,L1S2-R-1095-S38_042350_R..N93R,L1S2,Forest Hills-71 Av,0,R..N93R
R,L1S2-R-1095-S38_043200_R..N93R,L1S2,Forest Hills-71 Av,0,R..N93R
R,L1S2-R-1095-S38_044000_R..N93R,L1S2,Forest Hills-71 Av,0,R..N93R
R,L1S2-R-1095-S38_044800_R..N93R,L1S2,Forest Hills-71 Av,0,R..N93R
SI,L1S2-SI-1017-S70_045100_SI.S07R,L1S2,Tottenville,1,
SI,L1S2-SI-1017-S70_045300_SI.S02R,L1S2,Great Kills,1,SI.S02R
SI,L1S2-SI-1017-S70_046600_SI.S07R,L1S2,Tottenville,1,
SI,L1S2-SI-1017-S70_046800_SI.S02R,L1S2,Great Kills,1,SI.S02R
SI,L1S2-SI-1017-S70_048100_SI.S07R,L1S2,Tottenville,1,
SI,L1S2-SI-1017-S70_048800_SI.S03R,L1S2,Tottenville,1,
SI,L1S2-SI-1017-S70_049500_SI.N28R,L1S2,St George,0,
SI,L1S2-SI-1017-S70_049600_SI.S03R,L1S2,Tottenville,1,
SI,L1S2-SI-1017-S70_051100_SI.N03R,L1S2,St George,0,
SI,L1S2-SI-1017-S70_051100_SI.S03R,L1S2,Tottenville,1,
SI,L1S2-SI-1017-S70_052600_SI.S03R,L1S2,Tottenville,1,
SI,L1S2-SI-1017-S70_054100_SI.N03R,L1S2,St George,0,
SI,L1S2-SI-1017-S70_054600_SI.S03R,L1S2,Tottenville,1,
SI,L1S2-SI-1017-S70_057100_SI.N03R,L1S2,St George,0,
SI,L1S2-SI-1017-S70_057600_SI.S03X027,L1S2,Tottenville,1,
SI,L1S2-SI-1017-S70_060100_SI.N03R,L1S2,St George,0,
SI,L1S2-SI-1017-S70_060600_SI.S03X027,L1S2,Tottenville,1,
SI,L1S2-SI-1017-S70_063100_SI.N03R,L1S2,St George,0,
SI,L1S2-SI-1017-S70_063600_SI.S03X027,L1S2,Tottenville,1,
SI,L1S2-SI-1017-S70_066100_SI.N03R,L1S2,St George,0,
SI,L1S2-SI-1017-S70_066600_SI.S03X027,L1S2,Tottenville,1,
SI,L1S2-SI-1017-S70_069100_SI.N03R,L1S2,St George,0,
SI,L1S2-SI-1017-S70_069600_SI.S03X027,L1S2,Tottenville,1,
SI,L1S2-SI-1017-S70_072100_SI.N03R,L1S2,St George,0,
SI,L1S2-SI-1017-S70_072600_SI.S03X027,L1S2,Tottenville,1,
SI,L1S2-SI-1017-S70_075100_SI.N03R,L1S2,St George,0,
SI,L1S2-SI-1017-S70_075600_SI.S03X027,L1S2,Tottenville,1,
SI,L1S2-SI-1017-S70_078100_SI.N03R,L1S2,St George,0,
SI,L1S2-SI-1017-S70_078600_SI.S03X027,L1S2,Tottenville,1,
SI,L1S2-SI-1017-S70_081100_SI.N03R,L1S2,St George,0,
SI,L1S2-SI-1017-S70_081600_SI.S03X027,L1S2,Tottenville,1,
SI,L1S2-SI-1017-S70_084100_SI.N03R,L1S2,St George,0,
SI,L1S2-SI-1017-S70_084600_SI.S03X027,L1S2,Tottenville,1,
SI,L1S2-SI-1017-S70_087100_SI.N03R,L1S2,St George,0,
SI,L1S2-SI-1017-S70_087600_SI.S03R,L1S2,Tottenville,1,
SI,L1S2-SI-1017-S70_089900_SI.N03R,L1S2,St George,0,
SI,L1S2-SI-1017-S70_091900_SI.N03R,L1S2,St George,0,
SI,L1S2-SI-1017-S70_093900_SI.N03R,L1S2,St George,0,
2,L1S3-2-1100-S42_001550_2..S10X005,L1S3,Flatbush Av-Brooklyn College,1,
2,L1S3-2-1100-S42_003550_2..S10X005,L1S3,Flatbush Av-Brooklyn College,1,
2,L1S3-2-1100-S42_005550_2..S10X005,L1S3,Flatbush Av-Brooklyn College,1,
2,L1S3-2-1100-S42_007550_2..S10X005,L1S3,Flatbush Av-Brooklyn College,1,
2,L1S3-2-1100-S42_009550_2..S10X005,L1S3,Flatbush Av-Brooklyn College,1,
2,L1S3-2-1100-S42_011550_2..S10X005,L1S3,Flatbush Av-Brooklyn College,1,
2,L1S3-2-1100-S42_013350_2..N08X181,L1S3,E 180 St,0,
2,L1S3-2-1100-S42_013550_2..S10X005,L1S3,Flatbush Av-Brooklyn College,1,
2,L1S3-2-1100-S42_015350_2..N08X181,L1S3,E 180 St,0,
2,L1S3-2-1100-S42_015550_2..S10X005,L1S3,Flatbush Av-Brooklyn College,1,
2,L1S3-2-1100-S42_017350_2..N08X181,L1S3,E 180 St,0,
2,L1S3-2-1100-S42_017550_2..S10X005,L1S3,Flatbush Av-Brooklyn College,1,
2,L1S3-2-1100-S42_019350_2..N08X181,L1S3,E 180 St,0,
2,L1S3-2-1100-S42_019550_2..S10X005,L1S3,Flatbush Av-Brooklyn College,1,
2,L1S3-2-1100-S42_021350_2..N08X004,L1S3,Wakefield-241 St,0,
2,L1S3-2-1100-S42_021550_2..S10X005,L1S3,Flatbush Av-Brooklyn College,1,
2,L1S3-2-1100-S42_023350_2..N08X004,L1S3,Wakefield-241 St,0,
2,L1S3-2-1100-S42_023550_2..S10X005,L1S3,Flatbush Av-Brooklyn College,1,
2,L1S3-2-1100-S42_025050_2..S10X005,L1S3,Flatbush Av-Brooklyn College,1,
2,L1S3-2-1100-S42_025350_2..N08X004,L1S3,Wakefield-241 St,0,
2,L1S3-2-1100-S42_026550_2..S10X005,L1S3,Flatbush Av-Brooklyn College,1,
2,L1S3-2-1100-S42_027350_2..N08X004,L1S3,Wakefield-241 St,0,
2,L1S3-2-1100-S42_028050_2..S10X005,L1S3,Flatbush Av-Brooklyn College,1,
2,L1S3-2-1100-S42_029350_2..N08R,L1S3,Wakefield-241 St,0,2..N08R
2,L1S3-2-1100-S42_029550_2..S10X006,L1S3,Flatbush Av-Brooklyn College,1,
2,L1S3-2-1100-S42_030600_2..N08R,L1S3,Wakefield-241 St,0,2..N08R
2,L1S3-2-1100-S42_030900_2..S01R,L1S3,Flatbush Av-Brooklyn College,1,2..S01R
2,L1S3-2-1100-S42_031050_2..S10X006,L1S3,Flatbush Av-Brooklyn College,1,
2,L1S3-2-1100-S42_032100_2..N01R,L1S3,Wakefield-241 St,0,2..N01R
2,L1S3-2-1100-S42_032100_2..S01R,L1S3,Flatbush Av-Brooklyn College,1,2..S01R
2,L1S3-2-1100-S42_033150_2..S01R,L1S3,Flatbush Av-Brooklyn College,1,2..S01R
2,L1S3-2-1100-S42_033450_2..N01R,L1S3,Wakefield-241 St,0,2..N01R
2,L1S3-2-1100-S42_034150_2..S01R,L1S3,Flatbush Av-Brooklyn College,1,2..S01R
2,L1S3-2-1100-S42_034900_2..N01R,L1S3,Wakefield-241 St,0,2..N01R
2,L1S3-2-1100-S42_036100_2..N01R,L1S3,Wakefield-241 St,0,2..N01R
2,L1S3-2-1100-S42_037200_2..N01R,L1S3,Wakefield-241 St,0,2..N01R
2,L1S3-2-1100-S42_038400_2..N01R,L1S3,Wakefield-241 St,0,2..N01R
2,L1S3-2-1100-S42_039500_2..N01R,L1S3,Wakefield-241 St,0,2..N01R
2,L1S3-2-1100-S42_040500_2..N01R,L1S3,Wakefield-241 St,0,2..N01R
2,L1S3-2-1100-S42_041500_2..N01R,L1S3,Wakefield-241 St,0,2..N01R
2,L1S3-2-1100-S42_042450_2..N01R,L1S3,Wakefield-241 St,0,2..N01R
2,L1S3-2-1100-S42_043350_2..N01R,L1S3,Wakefield-241 St,0,2..N01R
2,L1S3-2-1100-S42_044300_2..N01R,L1S3,Wakefield-241 St,0,2..N01R
3,L1S3-3-1092-S25_030150_3..S01R,L1S3,New Lots Av,1,3..S01R
3,L1S3-3-1092-S25_030550_3..N90R,L1S3,Harlem-148 St,0,
3,L1S3-3-1092-S25_031100_3..S88R,L1S3,34 St-Penn Station,1,
3,L1S3-3-1092-S25_031700_3..S01R,L1S3,New Lots Av,1,3..S01R
3,L1S3-3-1092-S25_032550_3..N90R,L1S3,Harlem-148 St,0,
3,L1S3-3-1092-S25_033200_3..S01R,L1S3,New Lots Av,1,3..S01R
3,L1S3-3-1092-S25_033850_3..N01R,L1S3,Harlem-148 St,0,3..N01R
3,L1S3-3-1092-S25_034550_3..N90R,L1S3,Harlem-148 St,0,
3,L1S3-3-1092-S25_034600_3..S01R,L1S3,New Lots Av,1,3..S01R
3,L1S3-3-1092-S25_035750_3..S01R,L1S3,New Lots Av,1,3..S01R
3,L1S3-3-1092-S25_035850_3..N01R,L1S3,Harlem-148 St,0,3..N01R
3,L1S3-3-1092-S25_036550_3..S01R,L1S3,New Lots Av,1,3..S01R
3,L1S3-3-1092-S25_036900_3..N42R,L1S3,Harlem-148 St,0,3..N42R
3,L1S3-3-1092-S25_037350_3..N01R,L1S3,Harlem-148 St,0,3..N01R
3,L1S3-3-1092-S25_037800_3..S01R,L1S3,New Lots Av,1,3..S01R
3,L1S3-3-1092-S25_038500_3..N01R,L1S3,Harlem-148 St,0,3..N01R
3,L1S3-3-1092-S25_038800_3..S01R,L1S3,New Lots Av,1,3..S01R
3,L1S3-3-1092-S25_039550_3..N01R,L1S3,Harlem-148 St,0,3..N01R
